timestamp	commit	experiment_tag	num_envs	minibatch_size	mini_epochs	learning_rate	expl_block_size	max_successes	last_elapsed_s	status	description
2026-05-13T04:10:34-04:00	ad5fe33	baseline_n512_mb1024_me2_lr1e-4	512	1024	2	1e-4	128	0.0859	3598.3	keep	measured baseline (delays max=3, goal_xy_noise=0)
2026-05-13T05:18:39-04:00	fb0a088	nf_n512_mb1024_me4_lr3e-4	512	1024	4	3e-4	128	0.5547	3598.8	keep	me=4 + lr=3e-4 composite; 6.5x baseline
2026-05-13T05:18:39-04:00	baf8d77	nf_n512_mb1024_me8_lr3e-4	512	1024	8	3e-4	128	0.7188	3598.6	keep	me=8 + lr=3e-4; 8.4x baseline; new best; still rising at budget end
2026-05-13T06:21:58-04:00	5a7d8ce	nf_n256_mb512_me8_lr3e-4	256	512	8	3e-4	64	0.3906	3588.5	discard	n=256 hurt: vmax 0.39 << me8 best 0.72; need more envs for this task
2026-05-13T06:21:58-04:00	d7c16cd	nf_n512_mb1024_me16_lr3e-4	512	1024	16	3e-4	128	0.1797	3580.3	discard	me=16 vmax 0.18 << me8 best 0.72; too much off-policy fitting
2026-05-13T07:30:03-04:00	f9a5d9e	nf_n1024_mb2048_me8_lr3e-4	1024	2048	8	3e-4	256	0.7266	3598.2	keep	n=1024: 0.727 marginal new best (+1% vs me8 0.719); 2x mem cost
2026-05-13T07:30:03-04:00	c20a9ba	nf_n512_mb1024_me8_lr5e-4	512	1024	8	5e-4	128	0.6250	3596.8	discard	lr=5e-4 vmax 0.625 < me8 0.719; lr=3e-4 is the sweet spot
2026-05-13T08:37:43-04:00	4852668	nf_n512_mb2048_me8_lr3e-4	512	2048	8	3e-4	128	0.9609	3597.1	keep	mb=2048 (4 minibatches/epoch): 0.961 vs me8 0.719 = +34% relative; new best; still rising at budget end
2026-05-13T08:37:43-04:00	7070f3d	nf_n512_mb1024_me8_lr2e-4	512	1024	8	2e-4	128	0.3047	3599.9	discard	lr=2e-4 vmax 0.305 << me8 0.719
2026-05-13T09:40:57-04:00	b7568ab	nf_n512_mb4096_me8_lr3e-4	512	4096	8	3e-4	128	0.8516	3588.0	discard	mb=4096 (16 grad steps): 0.85 < mb=2048 best 0.96; too few updates
2026-05-13T09:40:57-04:00	ed8c0dd	nf_n512_mb2048_me16_lr3e-4	512	2048	16	3e-4	128	0.8359	3582.0	discard	me=16 + mb=2048: 0.84 < mb=2048 me=8 best 0.96; me=16 still loses with larger MB
2026-05-13T10:48:49-04:00	2d917d0	nf_n512_mb2048_me10_lr3e-4	512	2048	10	3e-4	128	0.9062	3599.4	discard	me=10 (40 grad steps): 0.91 < me=8 best 0.96; me=8 is sweet spot
2026-05-13T10:48:49-04:00	4f86b09	nf_n512_mb2048_me8_lr4e-4	512	2048	8	4e-4	128	1.1562	3596.0	keep	lr=4e-4 at mb=2048: 1.156 vs lr=3e-4 0.961 = +20% relative; new best
2026-05-13T11:56:59-04:00	07672d6	nf_n512_mb2048_me8_lr5e-4	512	2048	8	5e-4	128	1.1250	3599.9	discard	lr=5e-4 vmax 1.125 < lr=4e-4 best 1.156
2026-05-13T11:56:59-04:00	0c1eed1	nf_n512_mb2048_me8_lr8e-4	512	2048	8	8e-4	128	0.9609	3597.2	discard	lr=8e-4 vmax 0.961 << lr=4e-4 best 1.156; LR bell curve peaks at 4e-4
2026-05-13T12:59:59-04:00	ffead1c	nf_n1024_mb2048_me8_lr4e-4	1024	2048	8	4e-4	256	0.7930	3457.2	discard	n=1024 + lr=4e-4: 0.79 < lr=4e-4 best 1.16; n=1024 doesn't help even at higher LR
2026-05-13T12:59:59-04:00	d5f067a	nf_n512_mb1024_me8_lr4e-4	512	1024	8	4e-4	128	0.6484	3584.8	discard	mb=1024 + lr=4e-4: 0.65 < lr=4e-4 best 1.16; smaller MB hurts at any LR
